Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-17.50381;y=;4.78701
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-18.13775;y=;11.46983
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-5.513471;y=;2.487443
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;0.2851787;y=;-1.681982
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;1.771955;y=;9.132862
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.19741;y=;7.605867
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-5.829575;y=;11.96972
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-9.792678;y=;-0.9179168
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-4.219129;y=;6.974648
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;0.3785086;y=;15.44275
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.23721;y=;0.9164104
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-16.7957;y=;-5.707538
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-14.9827;y=;18.48841
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-4.613887;y=;6.184305
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;2.111399;y=;-3.399879
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;1.480332;y=;16.33219
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.16961;y=;17.85065
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.076326;y=;4.855625
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;0.9612799;y=;-1.76923
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-9.703859;y=;-6.183461
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.790854;y=;7.504269
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-15.16038;y=;-1.225406
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.126522;y=;10.29652
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.248069;y=;8.263849
