Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;0.08876133;y=;15.4
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-5.654726;y=;9.254725
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-16.8718;y=;6.071796
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;5.639999;y=;7.23
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.365;y=;-5.34
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
10;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
11;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-4.999848;y=;8.59985
12;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-9.403501;y=;4.9965
13;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.9549437;y=;14.7764
14;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.920025;y=;0.720026
15;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
16;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-11.72291;y=;11.32291
17;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-16.365;y=;19.23
18;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.365;y=;-5.34
19;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
20;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
21;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-15;y=;16.93217
22;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-13.79394;y=;15.4
