Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.4;y=;13.248
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;1.07198;y=;15.5798
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-15.32845;y=;-4.128446
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-14.66348;y=;14.26348
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.365;y=;19.23
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;1.35;y=;15.69
10;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.2415333;y=;-0.9584675
11;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
12;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
13;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;0.1465664;y=;7.453436
14;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
15;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
16;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.4;y=;12.33256
17;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;1.35;y=;15.69
18;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
19;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
20;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-6.119501;y=;8.919502
21;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
22;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
23;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-4.629414;y=;8.229416
24;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
25;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
26;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
