Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;18.94218;y=;4.799999
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-28.68995;y=;-0.1100464
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32.8;y=;-15.07993
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;4;y=;2.921257
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-11.50175;y=;-24
10;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
11;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
12;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
13;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;35.2;y=;-13.09815
14;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
15;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
16;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36;y=;12.92527
17;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-26.02952;y=;22.4
18;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
19;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
20;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32;y=;-8
21;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
22;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;20.8;y=;4
23;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
24;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-15.2;y=;-24
25;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;30.99643;y=;0.2035713
26;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
27;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-4;y=;14.03839
28;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
29;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;8.799999;y=;-10.83392
30;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32;y=;-19.51141
31;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-8.858768;y=;12.05877
32;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;11.31029;y=;9.489712
33;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;12.06213;y=;8.737869
34;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
35;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
36;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-20.35246;y=;1.952469
37;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-13.93322;y=;-9.133224
38;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32;y=;-11.93635
39;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32;y=;-7.258135
40;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
41;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
42;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
43;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32;y=;-8.940495
44;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
45;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
46;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
47;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;25.36703;y=;0
48;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
49;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
50;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-28;y=;-5.332844
51;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-34.4;y=;-0.02220917
