Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;0.05091286;y=;16.05091
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-13.08129;y=;12.68129
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.4;y=;12.87315
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.3063765;y=;15.03347
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;5.639999;y=;-4.77
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-4.200182;y=;8.200001
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.5504608;y=;8.200001
10;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-5.680738;y=;9.280739
11;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
12;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
13;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.031992;y=;5.831993
14;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.2177324;y=;-0.9822674
15;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-7.445699;y=;11.8457
16;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
17;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-16.1;y=;13.54
18;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
19;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
20;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
21;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
22;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;4.379486;y=;20.37949
23;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;1.35;y=;15.69
24;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
25;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-7.392143;y=;11.79214
26;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.2;y=;14.6
27;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
28;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.2783308;y=;-0.921669
29;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.365;y=;19.23
30;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-4.10636;y=;7.093639
31;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
32;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
33;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;2.36907;y=;18.36907
34;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
35;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
36;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.2;y=;17.19776
37;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.28168;y=;17.70001
38;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
39;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.644927;y=;9.355072
40;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
41;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;1.35;y=;15.69
42;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
43;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.3318872;y=;15.4
44;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
45;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.154315;y=;4.954315
46;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.1826515;y=;-1.017349
47;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
48;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.70627;y=;8.29373
49;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
50;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3;y=;9.346581
51;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;3.96385;y=;21.56385
52;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.4;y=;1.425835
53;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;5.639999;y=;-4.77
54;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.480854;y=;11.91915
55;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.2246647;y=;15.06586
56;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
57;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.381162;y=;6.181162
58;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.2408285;y=;-0.9591713
59;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
60;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
61;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
62;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.926658;y=;8.200001
63;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;0.5160618;y=;8.200001
64;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;5.639999;y=;-4.77
65;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;1.35;y=;15.69
66;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.170233;y=;8.029768
67;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-17.4;y=;11.71653
68;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
69;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
70;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
71;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-15;y=;16.72484
72;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
73;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
74;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
75;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
76;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
77;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;1.35;y=;15.69
78;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
79;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-17.33485;y=;13.86515
80;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
81;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
82;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.475365;y=;8.524635
83;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.4;y=;6.338751
84;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
85;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;2.970341;y=;18.17034
86;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
87;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.06653881;y=;-1.133461
88;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
89;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-16.365;y=;13.87
90;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
91;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.4;y=;11.97805
92;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
93;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-15;y=;16.60302
94;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.323332;y=;8.200001
95;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.473496;y=;10.5265
96;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-15.58139;y=;15.61861
97;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
98;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
99;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
