Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;50.4;y=;-32.4
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;56.8;y=;-15.6
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-38.4;y=;27.2
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
10;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-22;y=;-28.4
11;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
12;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
13;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;31.6;y=;12.8
14;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;29.2;y=;15.2
15;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;56.8;y=;-10.8
16;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-39.6;y=;27.2
17;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
18;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
19;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
20;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
21;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-8.799995;y=;27.6
22;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
23;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
24;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
25;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
26;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
27;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;30.4;y=;10.4
28;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
29;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-26;y=;26.4
30;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
31;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10;y=;27.2
32;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;54.8;y=;-12.8
33;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-42.8;y=;9.200005
34;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
35;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-35.2;y=;-28
36;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-21;y=;-29.7
37;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
38;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
39;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
40;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
41;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
42;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
43;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
44;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-8;y=;23.2
45;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;9.599998;y=;8
46;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-40;y=;20.8
47;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-26.4;y=;28.8
48;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
49;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10;y=;26.8
50;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
51;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-44.4;y=;12
52;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
53;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
54;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
55;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.8;y=;27.6
56;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
57;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
58;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
59;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
60;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-22;y=;29.2
61;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
62;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-36.4;y=;13.2
63;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
64;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
65;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
66;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;56.8;y=;-14.4
67;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
68;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
69;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-11.6;y=;26.4
70;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
71;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;5.599998;y=;0.8000031
72;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
73;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
74;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-12.8;y=;23.2
75;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-25.2;y=;27.6
76;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
77;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
78;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
79;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
80;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
81;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
82;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;6.400002;y=;13.6
83;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;55.60001;y=;-12
84;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
85;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
86;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
87;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
88;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
89;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
90;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
91;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
92;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
93;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
94;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
95;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
96;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
97;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;54.8;y=;-12.8
98;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-4.799995;y=;18.4
99;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
