Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;27.9;y=;11.10001
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;29.34605;y=;14.94605
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-9.299995;y=;27.9
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;53.10001;y=;-21.9
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-24.9;y=;-27.3
10;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-25.15267;y=;-28.24733
11;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-14.1;y=;27.3
12;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;54.65327;y=;-13.14673
13;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;3.171417;y=;14.10001
14;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
15;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
16;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-16.91876;y=;23.7
17;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.5;y=;21.9
18;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
19;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;5.700005;y=;6.300003
20;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;54.66659;y=;-12.53341
21;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
22;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
23;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
24;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
25;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;2.598587;y=;-14.80142
26;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;53.10001;y=;-19.5
27;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;7.5;y=;6.900002
28;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.876438;y=;-17.1
29;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
30;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.5;y=;-22.5
31;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;54.86093;y=;-13.53908
32;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-19.20557;y=;23.39444
33;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-8.699997;y=;25.50001
34;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
35;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
36;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;2.939754;y=;-21.66025
37;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;53.10001;y=;-21.9
38;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
39;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
40;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
41;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
42;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-18.04467;y=;23.7
43;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-9.899994;y=;24.07158
44;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-9.299995;y=;27.9
45;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-7.591099;y=;-23.7
46;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;54.90001;y=;-12.3
47;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
48;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
49;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;27.3;y=;4.5
50;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;56.70001;y=;-10.5
51;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
52;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
53;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-17.50539;y=;23.7
54;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.5;y=;22.50001
55;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
56;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
57;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
58;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;3.900002;y=;-20.7
59;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;54.45322;y=;-13.34678
